URLS,Focus keyword,SEO Changes
https://docs.dyte.io/ui-kit/components/dyte-header,UI Kit Header,
https://docs.dyte.io/ui-kit/components/dyte-icon,UI Kit Icon,
https://docs.dyte.io/ui-kit/components/dyte-idle-screen,UI Kit Idle Screen,
https://docs.dyte.io/ui-kit/components/dyte-image-message,UI Kit Image Message,
https://docs.dyte.io/ui-kit/components/dyte-image-viewer,UI Kit Image Viewer,
https://docs.dyte.io/ui-kit/components/dyte-leave-button,UI Kit Leave Button,
https://docs.dyte.io/ui-kit/components/dyte-leave-meeting,UI Kit Leave Meeting,
https://docs.dyte.io/ui-kit/components/dyte-logo,UI Kit Logo,
https://docs.dyte.io/ui-kit/components/dyte-meeting,UI Kit Meeting,
https://docs.dyte.io/ui-kit/components/dyte-meeting-title,UI Kit Meeting Title,
https://docs.dyte.io/ui-kit/components/dyte-menu,UI Kit Menu,
https://docs.dyte.io/ui-kit/components/dyte-menu-item,UI Kit Menu Item,
https://docs.dyte.io/ui-kit/components/dyte-menu-list,UI Kit Menu List,
https://docs.dyte.io/ui-kit/components/dyte-mic-toggle,UI Kit Mic Toggle,
https://docs.dyte.io/ui-kit/components/dyte-mixed-grid,UI Kit Mixed Grid,
https://docs.dyte.io/ui-kit/components/dyte-more-toggle,UI Kit More Toggle,
https://docs.dyte.io/ui-kit/components/dyte-name-tag,UI Kit Name Tag,
https://docs.dyte.io/ui-kit/components/dyte-notification,UI Kit Notification,
https://docs.dyte.io/ui-kit/components/dyte-notifications,UI Kit Notifications,
https://docs.dyte.io/ui-kit/components/dyte-overlay-modal,UI Kit Overlay Modal,
https://docs.dyte.io/ui-kit/components/dyte-participant,UI Kit Participant,
https://docs.dyte.io/ui-kit/components/dyte-participant-count,UI Kit Participant Count,
https://docs.dyte.io/ui-kit/components/dyte-participant-tile,UI Kit Participant Tile,
https://docs.dyte.io/ui-kit/components/dyte-participants,UI Kit Participants,
https://docs.dyte.io/ui-kit/components/dyte-participants-audio,UI Kit Participants Audio,
https://docs.dyte.io/ui-kit/components/dyte-participants-stage-list,UI Kit Participants Stage List,
https://docs.dyte.io/ui-kit/components/dyte-participants-toggle,UI Kit Participants Toggle,
https://docs.dyte.io/ui-kit/components/dyte-permissions-message,UI Kit Permissions Message,
https://docs.dyte.io/ui-kit/components/dyte-plugin-main,UI Kit Plugin Main,
https://docs.dyte.io/ui-kit/components/dyte-plugins,UI Kit Plugins,
https://docs.dyte.io/ui-kit/components/dyte-plugins-toggle,UI Kit Plugins Toggle,
https://docs.dyte.io/ui-kit/components/dyte-poll,UI Kit Poll,
https://docs.dyte.io/ui-kit/components/dyte-poll-form,UI Kit Poll Form,
https://docs.dyte.io/ui-kit/components/dyte-polls,UI Kit Polls,
https://docs.dyte.io/ui-kit/components/dyte-polls-toggle,UI Kit Polls Toggle,
https://docs.dyte.io/ui-kit/components/dyte-recording-indicator,UI Kit Recording Indicator,
https://docs.dyte.io/ui-kit/components/dyte-recording-toggle,UI Kit Recording Toggle,
https://docs.dyte.io/ui-kit/components/dyte-remote-access-manager,UI Kit Remote Access Manager,
https://docs.dyte.io/ui-kit/components/dyte-screen-share-toggle,UI Kit Screen Share Toggle,
https://docs.dyte.io/ui-kit/components/dyte-screenshare-view,UI Kit Screenshare View,
https://docs.dyte.io/ui-kit/components/dyte-settings,UI Kit Settings,
https://docs.dyte.io/ui-kit/components/dyte-settings-audio,UI Kit Settings Audio,
https://docs.dyte.io/ui-kit/components/dyte-settings-toggle,UI Kit Settings Toggle,
https://docs.dyte.io/ui-kit/components/dyte-settings-video,UI Kit Settings Video,
https://docs.dyte.io/ui-kit/components/dyte-setup-screen,UI Kit Setup Screen,
https://docs.dyte.io/ui-kit/components/dyte-sidebar,UI Kit Sidebar,
https://docs.dyte.io/ui-kit/components/dyte-simple-grid,UI Kit Simple Grid,
https://docs.dyte.io/ui-kit/components/dyte-spinner,UI Kit Spinner,
https://docs.dyte.io/ui-kit/components/dyte-spotlight-grid,UI Kit Spotlight Grid,
https://docs.dyte.io/ui-kit/components/dyte-stage,UI Kit Stage,
https://docs.dyte.io/ui-kit/components/dyte-switch,UI Kit Switch,
https://docs.dyte.io/ui-kit/components/dyte-text-field,UI Kit Text Field,
https://docs.dyte.io/ui-kit/components/dyte-text-message,UI Kit Text Message,
https://docs.dyte.io/ui-kit/components/dyte-tooltip,UI Kit Tooltip,
https://docs.dyte.io/ui-kit/components/dyte-viewer-count,UI Kit Viewer Count,
https://docs.dyte.io/ui-kit/customizations/custom-iconpack,UI Kit Customizations Iconpack,
https://docs.dyte.io/ui-kit/customizations/custom-locale,UI Kit Customizations Locale,
https://docs.dyte.io/ui-kit/design-system,UI Kit Design System,
https://docs.dyte.io/ui-kit/quickstart,UI Kit Quickstart,
https://docs.dyte.io/ui-kit/reference,UI Kit Reference,
https://docs.dyte.io/ui-kit/reference/classes/DyteNotificationsAudio,UI Kit Notifications Audio,
https://docs.dyte.io/ui-kit/reference/interfaces/Notification,UI Kit Notification Interface,
https://docs.dyte.io/ui-kit/reference/interfaces/PollObject,UI Kit Poll Object Interface,
https://docs.dyte.io/ui-kit/reference/interfaces/States,UI Kit States Interface,
https://docs.dyte.io/ui-kit/reference/interfaces/UIConfig,UI Kit UI Config Interface,
https://docs.dyte.io/ui-kit/reference/interfaces/UserPreferences,UI Kit User Preferences Interface,
https://docs.dyte.io/ui-kit/release-notes,UI Kit Release Notes,
https://docs.dyte.io/web-core,Web Core Introduction,
https://docs.dyte.io/web-core/chat/edit-chat-messages,Web Core Edit Chat Messages,
https://docs.dyte.io/web-core/chat/introduction,Web Core Chat Introduction,
https://docs.dyte.io/web-core/chat/other-chat-functions,Web Core Other Chat Functions,
https://docs.dyte.io/web-core/chat/receiving-chat-messages,Web Core Receiving Chat Messages,
https://docs.dyte.io/web-core/chat/sending-a-chat-message,Web Core Sending a Chat Message,
https://docs.dyte.io/web-core/error-codes/error-code,Web Core Error Code,
https://docs.dyte.io/web-core/error-codes/error-code-zero-ten,Web Core Error Code Zero Ten,
https://docs.dyte.io/web-core/introduction,Web Core Introduction,
https://docs.dyte.io/web-core/livestreaming,Web Core Livestreaming,
https://docs.dyte.io/web-core/local-user/events,Web Core Local User Events,
https://docs.dyte.io/web-core/local-user/extras,Web Core Local User Extras,
https://docs.dyte.io/web-core/local-user/introduction,Web Core Local User Introduction,
https://docs.dyte.io/web-core/local-user/manage-media-devices,Web Core Manage Media Devices,
https://docs.dyte.io/web-core/local-user/media-permission-errors,Web Core Media Permission Errors,
https://docs.dyte.io/web-core/participants,Web Core Participants,
https://docs.dyte.io/web-core/participants/events,Web Core Participants Events,
https://docs.dyte.io/web-core/participants/participant-object,Web Core Participant Object,
https://docs.dyte.io/web-core/participants/pip,Web Core Participants PIP,
https://docs.dyte.io/web-core/plugins/disable-plugin,Web Core Disable Plugin,
https://docs.dyte.io/web-core/plugins/enable-plugin,Web Core Enable Plugin,
https://docs.dyte.io/web-core/plugins/extra,Web Core Plugins Extra,
https://docs.dyte.io/web-core/plugins/introduction,Web Core Plugins Introduction,
https://docs.dyte.io/web-core/polls/creating-a-poll,Web Core Creating a Poll,
https://docs.dyte.io/web-core/polls/introduction,Web Core Polls Introduction,
https://docs.dyte.io/web-core/polls/other-poll-functions,Web Core Other Poll Functions,
https://docs.dyte.io/web-core/polls/voting-on-a-poll,Web Core Voting on a Poll,
https://docs.dyte.io/web-core/recording,Web Core Recording,
https://docs.dyte.io/web-core/reference/DyteAi,Web Core Reference DyteAi,
https://docs.dyte.io/web-core/reference/DyteChat,Web Core Reference DyteChat,
https://docs.dyte.io/web-core/reference/DyteClient,Web Core Reference DyteClient,
https://docs.dyte.io/web-core/reference/DyteLivestream,Web Core Reference DyteLivestream,
https://docs.dyte.io/web-core/reference/DyteMeta,Web Core Reference DyteMeta,
https://docs.dyte.io/web-core/reference/DyteParticipant,Web Core Reference DyteParticipant,
https://docs.dyte.io/web-core/reference/DyteParticipantMap,Web Core Reference DyteParticipantMap,
https://docs.dyte.io/web-core/reference/DyteParticipants,Web Core Reference DyteParticipants,
https://docs.dyte.io/web-core/reference/DytePermissionsPreset,Web Core Reference DytePermissionsPreset,
https://docs.dyte.io/web-core/reference/DytePlugin,Web Core Reference DytePlugin,
https://docs.dyte.io/web-core/reference/DytePluginMap,Web Core Reference DytePluginMap,
https://docs.dyte.io/web-core/reference/DytePlugins,Web Core Reference DytePlugins,
https://docs.dyte.io/web-core/reference/DytePolls,Web Core Reference DytePolls,
https://docs.dyte.io/web-core/reference/DyteRecording,Web Core Reference DyteRecording,
https://docs.dyte.io/web-core/reference/DyteRemote,Web Core Reference DyteRemote,
https://docs.dyte.io/web-core/reference/DyteSelf,Web Core Reference DyteSelf,
https://docs.dyte.io/web-core/reference/DyteSelfMedia,Web Core Reference DyteSelfMedia,
https://docs.dyte.io/web-core/reference/DyteStage,Web Core Reference DyteStage,
https://docs.dyte.io/web-core/reference/DyteThemePreset,Web Core Reference DyteThemePreset,
https://docs.dyte.io/web-core/release-notes,Web Core Release Notes,
https://docs.dyte.io/web-core/room-metadata,Web Core Room Metadata,
https://docs.dyte.io/web-core/stage,Web Core Stage,
